city,ZipCode,Price,HospitalDistance,Bank/ATM,SchoolDistance,SoldDate,BiddedDate,DistToTown,isfloodedArea,IsTsunmaiAlertedArea,Latitude,Longtitude
Battharamulla,10120,"4,500,000",0.4,0.8,0.8,,26-Mar,0.2,0,0,6.898,79.9223
Athurugiriya,10150,"1,100,000",1.3,3.5,0.8,,26-Mar,0.6,0,0,6.8723,80.0004
Dehiwala,10350,"2,800,000",0.9,0.7,0.8,,26-Mar,0.8,0,0,6.8559,79.863
Athurugiriya,10150,"1,475,000",1.1,3.7,0.7,,26-Mar,0.4,0,0,6.8723,80.0004
Kottawa,10240,"3,300,000",0.4,0.8,0.6,,26-Mar,1.1,0,0,6.8412,79.9654
Nugegoda,10250,"3,700,000",0.6,0.9,0.6,,12-Mar,0.8,0,0,6.8649,79.8997
Homagama,10200,"485,000",2.1,1.8,1.6,,26-Mar,1.5,0,0,6.8456,80.0036
Homagama,10200,"1,450,000",0.7,1.6,0.4,,26-Mar,0.6,0,0,6.8456,80.0036
Thalawathugoda,10116,"1,590,000",0.4,0.9,1.8,,26-Mar,1,0,0,6.8759,79.9392
Colombo 8,800,"10,000,000",0.5,0.7,0.5,,26-Mar,1.2,0,0,6.9722,79.876
Homagama,10200,"1,450,000",0.7,1.2,0.8,,26-Mar,0.3,0,0,6.8456,80.0036
Homagama,10200,"625,000",1.8,1.4,1.5,,26-Mar,2.5,0,0,6.8456,80.0036
Pannipitiya,10230,"1,690,000",2.4,2.4,1.1,,26-Mar,1.4,0,0,6.8464,79.9484
Kottawa,10240,"675,000",1.2,1.2,1.4,,26-Mar,3.2,0,0,6.8412,79.9654
Mount Lavinia,10370,"4,000,000",0.6,1,0.5,,26-Mar,0.9,0,1,6.8305,79.8678
Kottawa,10240,"675,000",1.4,1.5,1.2,,26-Mar,3.5,0,0,6.8412,79.9654
Malabe,10115,"1,175,000",2.6,2.2,1.6,,26-Mar,0.7,0,0,6.9061,79.9696
Malabe,10115,"975,000",2.8,2.8,1.8,,26-Mar,1.1,0,0,6.9061,79.9696
